feature_id,feature_name,feature_class,state_name,state_numeric,county_name,county_numeric,map_name,date_created,date_edited,bgn_type,bgn_authority,bgn_date,prim_lat_dms,prim_long_dms,prim_lat_dec,prim_long_dec,source_lat_dms,source_long_dms,source_lat_dec,source_long_dec
217984,Adkins Mountain,Summit,California,6,Madera,39,Knowles,"01/19/1981","07/10/2021",,,,370817N,1194836W,37.1381179,-119.8099885,,,0,0
217994,Adobe Hill,Summit,California,6,Madera,39,Little Table Mountain,"01/19/1981","07/24/2021",,,,370201N,1195143W,37.0336779,-119.8619795,,,0,0
218123,Mount Alice,Summit,California,6,Inyo,27,Split Mountain,"01/19/1981","04/18/2017",,,,370725N,1182757W,37.1235772,-118.4658549,,,0,0
218278,Andrews Mountain,Summit,California,6,Inyo,27,Waucoba Mountain,"01/19/1981","04/21/2021",,,,370437N,1180458W,37.0768912,-118.0827927,,,0,0
218303,Antelope Peak,Summit,California,6,Alpine,3,Lost Cannon Peak,"01/19/1981","02/19/2021",,,,382812N,1193322W,38.4700415,-119.5560486,,,0,0
218583,Bald Mountain,Summit,California,6,Fresno,19,Dinkey Creek,"01/19/1981","01/05/2021",,,,370614N,1191221W,37.1038303,-119.205814,,,0,0
218587,Bald Mountain,Summit,California,6,Tuolumne,109,Strawberry,"01/19/1981","04/07/2021",,,,380841N,1200514W,38.1446359,-120.0871179,,,0,0
218607,Bald Peak,Summit,California,6,Tuolumne,109,Dardanelle,"01/19/1981",12/30/2020,,,,382220N,1194639W,38.3721787,-119.7775155,,,0,0
218610,Bald Rock,Summit,California,6,Mariposa,43,Ben Hur,"01/19/1981","05/12/2021",,,,372225N,1195607W,37.373723,-119.935368,,,0,0
218861,Bear Mountain,Summit,California,6,Tulare,107,Auckland,"01/19/1981","05/11/2021",,,,363546N,1190250W,36.5962308,-119.0472764,,,0,0
218987,Bell Mountain,Summit,California,6,Tuolumne,109,Pinecrest,"01/19/1981","03/12/2021",,,,380856N,1195518W,38.1489191,-119.9215359,,,0,0
219080,Berry Hill,Summit,California,6,Madera,39,Millerton Lake West,"01/19/1981","08/03/2021",,,,370302N,1194316W,37.0506916,-119.7211821,,,0,0
219121,Mount Biedeman,Summit,California,6,Mono,51,Bodie,"01/19/1981","05/13/2021",,,,380909N,1190405W,38.1523811,-119.0679543,,,0,0
219357,Black Dome,Summit,California,6,Alpine,3,Ebbetts Pass,"01/19/1981","01/09/2021",,,,383152N,1195043W,38.5310408,-119.8452745,,,0,0
219373,Black Mountain,Summit,California,6,Inyo,27,Westgard Pass,"01/19/1981","04/21/2021",,,,371601N,1181331W,37.2668634,-118.2252787,,,0,0
219506,Blue Mountain,Summit,California,6,Tulare,107,Auckland,"01/19/1981","05/11/2021",,,,363303N,1190434W,36.550934,-119.076057,,,0,0
219697,Boulder Peak,Summit,California,6,Alpine,3,Disaster Peak,"01/19/1981","01/05/2021",,,,382652N,1194116W,38.4476661,-119.6877463,,,0,0
219780,Branford Mountain,Summit,California,6,Fresno,19,Trimmer,"01/19/1981","04/14/2021",,,,365706N,1191727W,36.9515929,-119.2908152,,,0,0
219790,Braly Peaks,Summit,Nevada,32,Mineral,21,Aurora,"01/19/1981","02/02/2021",Official,Board Decision,"04/30/2015",381506N,1185516W,38.2515978,-118.9211693,,,0,0
220004,Buck Peak,Summit,California,6,Fresno,19,The Sphinx,"01/19/1981","04/18/2017",,,,364813N,1183329W,36.803504,-118.558037,,,0,0
220006,Buck Point,Summit,California,6,Mariposa,43,Catheys Valley,"01/19/1981","05/22/2021",,,,372906N,1200440W,37.485023,-120.0777253,,,0,0
220035,Buckeye Hill,Summit,California,6,Mariposa,43,Ben Hur,"01/19/1981","05/12/2021",,,,371947N,1195700W,37.3296819,-119.9499833,,,0,0
220122,Bull Run Peak,Summit,California,6,Alpine,3,Spicer Meadow Reservoir,"01/19/1981","04/06/2021",,,,382831N,1195332W,38.4754103,-119.8920929,,,0,0
220229,Burnt Mountain,Summit,California,6,Fresno,19,Slide Bluffs,"01/19/1981","04/18/2017",,,,365820N,1184343W,36.9723081,-118.7285939,,,0,0
