name,longitude,latitude
Venacher Needle,-118.47549792669686,36.999667457748984
Mt Bandaloop,-119.42924530786142,37.99170550826904
Adair Buttress,-119.40677111485714,37.69184316847322
The Bowmaiden,-119.48754031351166,37.86258165113972
Saber Ridge,-118.57029294094524,36.59584445178913
The Obelisk,-118.85213727508692,36.90732683636757
Kettle Dome,-118.78607309783372,36.94928187904733
Silver Turret,-118.757008,36.884073
Cobra Turret,-118.754424,36.899257
Oyster Peak,-118.73563552885631,37.05432447855305
Whaleback,-118.53108629170647,36.63099103744769
The Minarets,-119.16815290382073,37.65686796781107
Bubbs Creek Wall,-118.47295,36.77106
Cyclorama Wall,-118.50509,37.0081
"Peak 11,357'",-119.363671,37.803907
Coherence Dome,-119.487593,37.914962
The Watchtower,-118.69917,36.60746
Third Pillar of Dana,-119.21347,37.92272
The Balls,-119.36144,37.50169
The Incredible Hulk,-119.41522,38.12188
